"","numero_episodio","Titulo","Tipo","rate","votes","Saga","Lancamento"
"1",1,"Homecoming","Mixed Canon/Filler",8.2,727,"s1 Kazekage Rescue",2007
"2",2,"The Akatsuki Makes Its Move","Mixed Canon/Filler",8,574,"s1 Kazekage Rescue",2007
"3",3,"The Results of Training","Mixed Canon/Filler",8,507,"s1 Kazekage Rescue",2007
"4",4,"The Jinchuriki of the Sand","Mixed Canon/Filler",8.2,515,"s1 Kazekage Rescue",2007
"5",5,"The Kazekage Stands Tall","Mixed Canon/Filler",8.2,484,"s1 Kazekage Rescue",2007
"6",6,"Mission Cleared","Mixed Canon/Filler",8.2,477,"s1 Kazekage Rescue",2007
"7",7,"Run, Kankuro","Mixed Canon/Filler",7.8,454,"s1 Kazekage Rescue",2007
"8",8,"Team Kakashi, Deployed","Mixed Canon/Filler",7.7,433,"s1 Kazekage Rescue",2007
"9",9,"The Jinchuriki's Tears","Mixed Canon/Filler",7.6,429,"s1 Kazekage Rescue",2007
"10",10,"Sealing Jutsu: Nine Phantom Dragons","Mixed Canon/Filler",7.5,419,"s1 Kazekage Rescue",2007
"11",11,"The Medical Ninja's Student","Mixed Canon/Filler",7.7,420,"s1 Kazekage Rescue",2007
"12",12,"The Retired Granny's Determination","Mixed Canon/Filler",7.9,420,"s1 Kazekage Rescue",2007
"13",13,"A Meeting With Destiny","Mixed Canon/Filler",8.1,429,"s1 Kazekage Rescue",2007
"14",14,"Naruto's Growth","Mixed Canon/Filler",8.3,448,"s1 Kazekage Rescue",2007
"15",15,"The Secret Weapon is Called....","Mixed Canon/Filler",8.4,443,"s1 Kazekage Rescue",2007
"16",16,"The Secret of Jinchuriki","Mixed Canon/Filler",7.6,401,"s1 Kazekage Rescue",2007
"17",17,"The Death of Gaara!","Mixed Canon/Filler",7.8,403,"s1 Kazekage Rescue",2007
"18",18,"Charge Tactic! Button Hook Entry!!","Mixed Canon/Filler",7.7,405,"s1 Kazekage Rescue",2007
"19",19,"Traps Activate! Team Guy's Enemies","Mixed Canon/Filler",7.8,397,"s1 Kazekage Rescue",2007
"20",20,"Hiruko vs. Two Kunoichi!","Manga Canon",8.1,425,"s1 Kazekage Rescue",2007
